id,cluster,texto
9797,9,"New data on viruses isolated from patients with subacute thyroiditis de Quervain 
are reported. Characteristic morphological, cytological, some physico-chemical 
and biological features of the isolated viruses are described. A possible role 
of these viruses in human and animal health disorders is d"
11906,9,"We describe an improved method for detecting deficiency of the acid hydrolase, 
alpha-1,4-glucosidase in leukocytes, the enzyme defect in glycogen storage 
disease Type II (Pompe disease). The procedure requires smaller volumes of blood 
and less time than previous methods. The assay involves the se"
16083,6,"We have studied the effects of curare on responses resulting from iontophoretic 
application of several putative neurotransmitters onto Aplysia neurons. These 
neurons have specific receptors for acetylcholine (ACh), dopamine, octopamine, 
phenylethanolamine, histamine, gamma-aminobutyric acid (GABA"
23188,4,"Kinetic and electrophoretic properties of 230--300 fold purified preparations of 
glucose-6-phosphate dehydrogenase (G6PD) from red cells of donors and patients 
with acute drug hemolytic anemia due to G6PD deficiency were studied. A new 
abnormal variant of G6PD isolated from red cell of a patient "
23469,6,"Male Wistar specific-pathogen-free rats aged 2, 7, 17, 30, 60, 120, 200, 360 and 
600 days, all killed in experiment on the same day, were examined. The body 
weight significantly increased until the 200th day, the weight of adrenals until 
the 120th day and the adrenal protein content until the 30t"
24032,6,"Tyrosine hydroxylase (TH) and phenylethanolamine-N-methyltransferase (PNMT) 
activities were assayed in adrenal glands of the following groups of the Alaskan 
red-backed vole (Clethrionomys rutilus dawsoni): 1) laboratory reared at 20 
degrees C and 2) exposed to 5 degrees C for 1, 3, 7, and 28 days"
30666,4,"Hemolytic anemia is a well-recognized complication of sulfasalazine treatment. 
17 of 40 (43%) patients with inflammatory bowel disease receiving sulfasalazine 
had evidence of hemolysis as detected by starch gel electrophoresis. Only 47% 
(8) of patients with hemolysis had Heinz body formation. The"
58611,8,"(1) The RNA replicase induced by bacteriophage Qbeta consists of four 
non-identical subunits designated as alpha (mol. wt. 74000), beta (mol. wt. 
64000), gamma (mol. wt. 47000) and delta (mol. wt. 33000), only one (subunit 
beta) of which is specified by the phage genome. (2) Subunit alpha (30 S 
"
61441,7,"Mice were inoculated with human sarcoid tissue homogenates or with a first or a 
second passage homogenate of mouse tissue (including 0.2 mum membrane filtrates) 
originating from the inoculation of human sarcoid, Crohn's disease, or control 
tissue homogenates. Epithelioid and giant cell granulomas"
83311,9,"Bleomycin is potentially capable of inducing a diffuse interstitial fibrosis of 
the lung, the pathogenesis of which has not yet been elucidated. The authors 
have demonstrated that after 48 hr of acute treatment, morphological and 
functional modifications could be seen in type II pneumocytes, whic"
85413,9,"Galactosylceramide beta-galactosidase cross reacting material was demonstrated 
in brain, liver, and skin fibroblasts from patients with Krabbe disease. The 
mutant enzyme was antigenically identical to the normal enzyme and exhibited 
similar electrophoretic mobility. Normal quantities of the catal"
97949,1,nan
98518,1,nan
100785,1,nan
117628,1,nan
125891,1,nan
133304,7,"A report of a patient with granulomatous peritonitis following general surgery 
is presented. Laparoscopy was performed as the final diagnostic procedure. 
Prevention is the remedy for this iatrogenic problem."
134458,7,"4103 cases suspected of mycoses were analysed as to sex, age and site of disease 
and 3891 were proved cases. This group formed 50% of total mycoses or 13-93% of 
all dermatoses recorded in the Government General Hospital, Madras, during the 
period of study. There were 66-26% adult female, 27-6% ad"
135896,7,"This paper reports about a female mutational falsetto, that means an unusual 
high (309 Hz base frequency) fundamental frequency of the speaking voice in a 
19-year-old girl. The psychological background and the epicrisis as well as the 
practical negative result of the hormon- and metabolism examin"
152622,6,"Animal experiments suggest that opiate peptides might play a role in 
extrapyramidal function. This hypothesis was tested by administering the opiate 
antagonist, naltrexone, in doses sufficient to antagonize exogenous opiates, to 
patients with parkinsonism and Huntington's disease. No improvement "
159767,6,"Certain drugs are transformed into reactive metabolites by cytochrome P-450, a 
hepatic microsomal enzyme. The reactive metabolites covalently bind to 
hepatocyte macromolecules, thus determining liver lesions. Induction of 
microsomial enzymes increases the formation of reactive metabolites and 
ex"
164278,2,"Protein methylase III (S-adenosylmethionine:proteinlysine methyltransferase; ED 
2.1.1.25) and protein methylase I (S-adenosylmethionine:protein-arginine 
methyltransferase; EC 2.1.1.23) activities were examined in isolated nuclei and 
cytosol fraction, respectively, from various hepatomas with diff"
